OPEN,HIGH,LOW,CLOSE
1.2063,1.2063,1.2062,1.2063
1.2063,1.2063,1.2063,1.2063
1.2062,1.2063,1.2062,1.2062
1.2062,1.2062,1.2062,1.2062
1.2062,1.2062,1.2062,1.2062
1.2062,1.2062,1.2062,1.2062
1.2062,1.2062,1.2062,1.2062
1.2062,1.2063,1.2062,1.2063
1.2064,1.2065,1.2064,1.2065
1.2065,1.2066,1.2065,1.2066
1.2066,1.2066,1.2065,1.2065
1.2066,1.2066,1.2066,1.2066
1.2066,1.2066,1.2065,1.2065
1.2064,1.2065,1.2064,1.2065
1.2066,1.2066,1.2066,1.2066
1.2066,1.2066,1.2066,1.2066
1.2066,1.2067,1.2066,1.2067
1.2067,1.2067,1.2066,1.2066
1.2066,1.2066,1.2066,1.2066
1.2065,1.2065,1.2063,1.2063
1.2064,1.2064,1.2062,1.2063
1.2063,1.2063,1.2062,1.2063
1.2063,1.2064,1.2063,1.2064
1.2064,1.2064,1.2064,1.2064
1.2064,1.2064,1.2064,1.2064
1.2063,1.2063,1.2061,1.2061
1.206,1.206,1.2055,1.2055
1.2054,1.2055,1.2053,1.2055
1.2056,1.2057,1.2056,1.2057
1.2057,1.2057,1.205,1.205
1.2049,1.2051,1.2047,1.2049
1.205,1.2054,1.205,1.2054
1.2055,1.2055,1.2054,1.2054
1.2054,1.2054,1.2054,1.2054
1.2054,1.2055,1.2054,1.2055
1.2055,1.2055,1.2055,1.2055
1.2056,1.2058,1.2056,1.2058
1.2058,1.2059,1.2058,1.2058
1.2059,1.2059,1.2059,1.2059
1.2059,1.2059,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2058,1.2058,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2055,1.2055
1.2055,1.2055,1.2055,1.2055
1.2055,1.2056,1.2055,1.2056
1.2056,1.2058,1.2056,1.2058
1.2058,1.2061,1.2058,1.2061
1.2061,1.2061,1.2057,1.2058
1.2059,1.2059,1.2057,1.2058
1.2059,1.2059,1.2058,1.2058
1.2058,1.206,1.2058,1.206
1.2059,1.206,1.2059,1.206
1.206,1.2061,1.206,1.2061
1.2062,1.2062,1.2061,1.2061
1.2061,1.2061,1.2061,1.2061
1.206,1.2061,1.206,1.206
1.206,1.206,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2057,1.2057,1.2056,1.2056
1.2057,1.2057,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2057,1.2058,1.2056,1.2056
1.2056,1.2056,1.2055,1.2056
1.2056,1.2058,1.2056,1.2057
1.2058,1.2058,1.2057,1.2057
1.2057,1.2058,1.2057,1.2057
1.2058,1.2058,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2057,1.2057,1.2057,1.2057
1.2056,1.2056,1.2056,1.2056
1.2056,1.2057,1.2055,1.2057
1.2057,1.2058,1.2057,1.2057
1.2058,1.2058,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2058,1.2059,1.2058,1.2059
1.2059,1.206,1.2059,1.2059
1.2059,1.206,1.2059,1.206
1.206,1.206,1.206,1.206
1.206,1.2061,1.206,1.206
1.2061,1.2061,1.206,1.206
1.2061,1.2061,1.206,1.206
1.206,1.206,1.206,1.206
1.206,1.206,1.206,1.206
1.206,1.206,1.2058,1.2058
1.2058,1.2058,1.2057,1.2057
1.2057,1.2057,1.2057,1.2057
1.2057,1.2057,1.2055,1.2056
1.2055,1.2058,1.2055,1.2058
1.2058,1.2058,1.2057,1.2057
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2055,1.2055
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2055,1.2056
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2055,1.2056
1.2055,1.2056,1.2055,1.2055
1.2055,1.2055,1.2055,1.2055
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2054,1.2055
1.2054,1.2054,1.2054,1.2054
1.2054,1.2054,1.2054,1.2054
1.2054,1.2054,1.2054,1.2054
1.2054,1.2055,1.2054,1.2055
1.2055,1.2055,1.2055,1.2055
1.2055,1.2056,1.2055,1.2056
1.2056,1.2057,1.2056,1.2057
1.2058,1.206,1.2057,1.206
1.206,1.206,1.2059,1.206
1.2059,1.2059,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2059,1.2059,1.2058,1.2058
1.2058,1.2058,1.2058,1.2058
1.2058,1.2059,1.2057,1.2057
1.2057,1.2057,1.2057,1.2057
1.2057,1.2057,1.2056,1.2056
1.2055,1.2056,1.2055,1.2056
1.2057,1.2057,1.2055,1.2056
1.2056,1.2056,1.2055,1.2056
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2053,1.2054
1.2054,1.2056,1.2054,1.2055
1.2056,1.2056,1.2055,1.2055
1.2055,1.2057,1.2055,1.2057
1.2056,1.2057,1.2056,1.2057
1.2056,1.2057,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2055,1.2056,1.2055,1.2056
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2055,1.2056
1.2056,1.2056,1.2055,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2055,1.2055
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2056,1.2056
1.2055,1.2055,1.2055,1.2055
1.2055,1.2055,1.2055,1.2055
1.2055,1.2055,1.2054,1.2054
1.2054,1.2054,1.2054,1.2054
1.2054,1.2055,1.2054,1.2055
1.2055,1.2056,1.2055,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2056,1.2055,1.2056
1.2056,1.2057,1.2056,1.2056
1.2057,1.2057,1.2056,1.2056
1.2057,1.2057,1.2056,1.2057
1.2057,1.2058,1.2057,1.2058
1.2058,1.2058,1.2057,1.2057
1.2057,1.2057,1.2056,1.2056
1.2056,1.2056,1.2056,1.2056
1.2056,1.2057,1.2056,1.2056
1.2055,1.2055,1.2055,1.2055
1.2055,1.2055,1.2053,1.2054
1.2054,1.2054,1.2053,1.2053
1.2053,1.2053,1.2051,1.2051
1.205,1.205,1.2048,1.2049
